LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,19-Nov-2021 08:25:01,0                 
Time,Ampl
2.2395e-007,0.000369997
2.24e-007,0.000356293
2.2405e-007,0.000344302
2.241e-007,0.000335738
2.2415e-007,0.000301479
2.242e-007,0.000205554
2.2425e-007,0.000143888
2.243e-007,7.53697e-005
2.2435e-007,1.54165e-005
2.244e-007,-1.02777e-005
2.2445e-007,-4.79625e-005
2.245e-007,-4.96755e-005
2.2455e-007,-2.91201e-005
2.246e-007,1.88424e-005
2.2465e-007,4.79625e-005
2.247e-007,9.07862e-005
2.2475e-007,0.000166156
2.248e-007,0.000188424
2.2485e-007,0.000224396
2.249e-007,0.000291201
2.2495e-007,0.000298053
2.25e-007,0.000310043
2.2505e-007,0.000270646
2.251e-007,0.000243238
2.2515e-007,0.00022097
2.252e-007,0.000167869
2.2525e-007,0.000150739
2.253e-007,0.000123332
2.2535e-007,0.000126758
2.254e-007,0.000119906
2.2545e-007,0.000138749
2.255e-007,0.000150739
2.2555e-007,0.000188424
2.256e-007,0.000198702
2.2565e-007,0.000236387
2.257e-007,0.000229535
2.2575e-007,0.000210692
2.258e-007,0.000217544
2.2585e-007,0.000184998
2.259e-007,0.000183285
2.2595e-007,0.000149026
2.26e-007,0.000138749
2.2605e-007,0.000135323
2.261e-007,0.000154165
2.2615e-007,0.000202128
2.262e-007,0.000232961
2.2625e-007,0.000292914
2.263e-007,0.000316895
2.2635e-007,0.000361432
2.264e-007,0.000404255
2.2645e-007,0.000433376
2.265e-007,0.000426524
2.2655e-007,0.000363145
2.266e-007,0.000364858
2.2665e-007,0.000344302
2.267e-007,0.000284349
2.2675e-007,0.000255229
2.268e-007,0.0002381
2.2685e-007,0.00022097
2.269e-007,0.000166156
2.2695e-007,0.00013361
2.27e-007,5.65272e-005
2.2705e-007,2.74071e-005
2.271e-007,-3.2546e-005
2.2715e-007,-5.13884e-005
2.272e-007,-0.000123332
2.2725e-007,-0.000174721
2.273e-007,-0.000179859
2.2735e-007,-0.000159304
2.274e-007,-0.000135323
2.2745e-007,-0.000118193
2.275e-007,-2.56942e-005
2.2755e-007,2.22683e-005
2.276e-007,9.07862e-005
2.2765e-007,0.000147313
2.277e-007,0.000207267
2.2775e-007,0.000234674
2.278e-007,0.000275784
2.2785e-007,0.000256942
2.279e-007,0.000294627
2.2795e-007,0.000289488
2.28e-007,0.000251803
2.2805e-007,0.000232961
2.281e-007,0.000210692
2.2815e-007,0.000173008
2.282e-007,0.000131897
2.2825e-007,9.24991e-005
2.283e-007,7.53697e-005
2.2835e-007,2.39813e-005
2.284e-007,1.19906e-005
2.2845e-007,-3.59719e-005
2.285e-007,-3.59719e-005
2.2855e-007,-1.02777e-005
2.286e-007,-4.45366e-005
2.2865e-007,-3.76848e-005
2.287e-007,-6.85179e-006
2.2875e-007,1.54165e-005
2.288e-007,6.68049e-005
2.2885e-007,9.07862e-005
2.289e-007,0.000164443
2.2895e-007,0.000198702
2.29e-007,0.000232961
2.2905e-007,0.000280923
2.291e-007,0.000310043
2.2915e-007,0.000332312
2.292e-007,0.000378561
2.2925e-007,0.000392265
2.293e-007,0.000369997
2.2935e-007,0.000369997
2.294e-007,0.000366571
2.2945e-007,0.000340876
2.295e-007,0.000318608
2.2955e-007,0.000265507
2.296e-007,0.000232961
2.2965e-007,0.000229535
2.297e-007,0.000169582
2.2975e-007,0.000167869
2.298e-007,0.00013361
2.2985e-007,0.000137036
2.299e-007,0.000137036
2.2995e-007,0.000152452
2.3e-007,0.000171295
2.3005e-007,0.000198702
2.301e-007,0.000270646
2.3015e-007,0.000337451
