LECROYWM8500,500500138,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,17-Nov-2021 11:03:16,0                 
Time,Ampl
2.2395e-007,-1.88424e-005
2.24e-007,-0.0001456
2.2405e-007,-0.000231248
2.241e-007,-0.000286062
2.2415e-007,-0.000304905
2.242e-007,-0.000289488
2.2425e-007,-0.000243238
2.243e-007,-0.000205554
2.2435e-007,-0.000155878
2.244e-007,-0.000107916
2.2445e-007,-8.22214e-005
2.245e-007,-5.65272e-005
2.2455e-007,-5.99531e-005
2.246e-007,-5.31014e-005
2.2465e-007,-7.70826e-005
2.247e-007,-8.22214e-005
2.2475e-007,-8.22214e-005
2.248e-007,-0.000107916
2.2485e-007,-9.7638e-005
2.249e-007,-6.85179e-005
2.2495e-007,-4.45366e-005
2.25e-007,-1.71295e-005
2.2505e-007,-1.19906e-005
2.251e-007,-1.71295e-006
2.2515e-007,-1.02777e-005
2.252e-007,0
2.2525e-007,1.71295e-006
2.253e-007,3.42589e-006
2.2535e-007,1.19906e-005
2.254e-007,2.74071e-005
2.2545e-007,5.99531e-005
2.255e-007,0.000140462
2.2555e-007,0.00022097
2.256e-007,0.000303192
2.2565e-007,0.000392265
2.257e-007,0.00050018
2.2575e-007,0.000578976
2.258e-007,0.000597818
2.2585e-007,0.000602957
2.259e-007,0.000549856
2.2595e-007,0.000493329
2.26e-007,0.000395691
2.2605e-007,0.000291201
2.261e-007,0.000157591
2.2615e-007,2.39813e-005
2.262e-007,-8.56473e-005
2.2625e-007,-0.000184998
2.263e-007,-0.000222683
2.2635e-007,-0.000244951
2.264e-007,-0.000241526
2.2645e-007,-0.000183285
2.265e-007,-0.000142175
2.2655e-007,-3.59719e-005
2.266e-007,7.02308e-005
2.2665e-007,0.000186711
2.267e-007,0.000311756
2.2675e-007,0.000447079
2.268e-007,0.000524162
2.2685e-007,0.000580689
2.269e-007,0.000632077
2.2695e-007,0.000637216
2.27e-007,0.00060467
2.2705e-007,0.000524162
2.271e-007,0.000409394
2.2715e-007,0.000320321
2.272e-007,0.000222683
2.2725e-007,0.000109629
2.273e-007,2.39813e-005
2.2735e-007,-3.59719e-005
2.274e-007,-7.70826e-005
2.2745e-007,-9.07862e-005
2.275e-007,-7.19438e-005
2.2755e-007,-4.96755e-005
2.276e-007,2.74071e-005
2.2765e-007,9.24991e-005
2.277e-007,0.000135323
2.2775e-007,0.000173008
2.278e-007,0.000207267
2.2785e-007,0.000207267
2.279e-007,0.000207267
2.2795e-007,0.000200415
2.28e-007,0.000154165
2.2805e-007,0.000109629
2.281e-007,0.000114767
2.2815e-007,0.000106203
2.282e-007,0.000121619
2.2825e-007,0.000164443
2.283e-007,0.000231248
2.2835e-007,0.000316895
2.284e-007,0.000423098
2.2845e-007,0.000551569
2.285e-007,0.000652633
2.2855e-007,0.000729715
2.286e-007,0.000777678
2.2865e-007,0.000830779
2.287e-007,0.000851335
2.2875e-007,0.000868464
2.288e-007,0.000810224
2.2885e-007,0.000745132
2.289e-007,0.000654346
2.2895e-007,0.000553282
2.29e-007,0.000447079
2.2905e-007,0.000359719
2.291e-007,0.000282636
2.2915e-007,0.000190137
2.292e-007,0.000121619
2.2925e-007,8.05085e-005
2.293e-007,4.28237e-005
2.2935e-007,4.11107e-005
2.294e-007,4.79625e-005
2.2945e-007,7.87956e-005
2.295e-007,9.5925e-005
2.2955e-007,0.000138749
2.296e-007,0.000173008
2.2965e-007,0.000226109
2.297e-007,0.000255229
2.2975e-007,0.000292914
2.298e-007,0.000347728
2.2985e-007,0.000387126
2.299e-007,0.000364858
2.2995e-007,0.0003837
2.3e-007,0.000364858
2.3005e-007,0.0003837
2.301e-007,0.000347728
2.3015e-007,0.000356293
2.302e-007,0.000373422
2.3025e-007,0.000380274
2.303e-007,0.000404255
2.3035e-007,0.000462496
2.304e-007,0.000529301
2.3045e-007,0.000578976
2.305e-007,0.000614948
2.3055e-007,0.000642355
2.306e-007,0.000683466
2.3065e-007,0.000669762
2.307e-007,0.000625226
2.3075e-007,0.000566985
2.308e-007,0.000493329
2.3085e-007,0.000421385
2.309e-007,0.000347728
2.3095e-007,0.000284349
2.31e-007,0.000198702
2.3105e-007,0.000123332
2.311e-007,4.79625e-005
2.3115e-007,3.76848e-005
2.312e-007,2.05554e-005
2.3125e-007,-5.13884e-006
2.313e-007,3.42589e-006
2.3135e-007,2.91201e-005
2.314e-007,2.74071e-005
2.3145e-007,5.48143e-005
2.315e-007,5.65272e-005
2.3155e-007,6.3379e-005
2.316e-007,9.93509e-005
2.3165e-007,0.000135323
2.317e-007,0.000154165
2.3175e-007,0.0001456
2.318e-007,0.000154165
2.3185e-007,0.000138749
2.319e-007,0.000135323
2.3195e-007,0.00010449
2.32e-007,7.02308e-005
2.3205e-007,4.96755e-005
2.321e-007,2.56942e-005
2.3215e-007,4.79625e-005
2.322e-007,4.62496e-005
2.3225e-007,6.16661e-005
2.323e-007,9.42121e-005
2.3235e-007,0.000154165
2.324e-007,0.000195276
2.3245e-007,0.000215831
2.325e-007,0.000272359
2.3255e-007,0.000330599
2.326e-007,0.00035458
2.3265e-007,0.00035458
2.327e-007,0.000368284
2.3275e-007,0.000339163
2.328e-007,0.000291201
2.3285e-007,0.000241526
2.329e-007,0.000210692
2.3295e-007,0.000164443
2.33e-007,0.000109629
2.3305e-007,4.62496e-005
2.331e-007,2.22683e-005
2.3315e-007,0
2.332e-007,-3.93978e-005
2.3325e-007,-3.2546e-005
2.333e-007,-5.48143e-005
2.3335e-007,-4.79625e-005
2.334e-007,-4.28237e-005
2.3345e-007,-2.56942e-005
2.335e-007,-3.42589e-006
2.3355e-007,3.76848e-005
2.336e-007,9.07862e-005
2.3365e-007,0.00013361
2.337e-007,0.000152452
2.3375e-007,0.000169582
2.338e-007,0.000186711
2.3385e-007,0.000215831
2.339e-007,0.000227822
2.3395e-007,0.000226109
2.34e-007,0.000241526
2.3405e-007,0.000227822
2.341e-007,0.000212405
2.3415e-007,0.000203841
2.342e-007,0.000193563
2.3425e-007,0.000176434
2.343e-007,0.000171295
2.3435e-007,0.000186711
2.344e-007,0.000198702
2.3445e-007,0.000231248
2.345e-007,0.00026722
2.3455e-007,0.000272359
2.346e-007,0.000289488
2.3465e-007,0.000298053
2.347e-007,0.000299766
2.3475e-007,0.000294627
2.348e-007,0.000286062
2.3485e-007,0.000274071
2.349e-007,0.000256942
2.3495e-007,0.00025009
2.35e-007,0.000258655
2.3505e-007,0.00026722
2.351e-007,0.000272359
2.3515e-007,0.000287775
2.352e-007,0.00029634
2.3525e-007,0.000298053
2.353e-007,0.000320321
2.3535e-007,0.000346015
2.354e-007,0.000335738
2.3545e-007,0.000303192
2.355e-007,0.000292914
2.3555e-007,0.000270646
2.356e-007,0.000214118
2.3565e-007,0.000155878
2.357e-007,0.00010449
2.3575e-007,6.68049e-005
2.358e-007,3.59719e-005
2.3585e-007,2.56942e-005
2.359e-007,2.05554e-005
2.3595e-007,2.05554e-005
2.36e-007,5.13884e-006
2.3605e-007,3.76848e-005
2.361e-007,5.31014e-005
2.3615e-007,8.56473e-005
2.362e-007,0.000149026
2.3625e-007,0.00019185
2.363e-007,0.000231248
2.3635e-007,0.000262081
2.364e-007,0.000304905
2.3645e-007,0.000349441
2.365e-007,0.000363145
2.3655e-007,0.00040083
2.366e-007,0.000445366
2.3665e-007,0.000462496
2.367e-007,0.000493329
2.3675e-007,0.000524162
2.368e-007,0.000553282
2.3685e-007,0.00056356
2.369e-007,0.000556708
2.3695e-007,0.000544717
2.37e-007,0.000534439
2.3705e-007,0.000510458
2.371e-007,0.00047106
2.3715e-007,0.000426524
2.372e-007,0.000407681
2.3725e-007,0.000356293
2.373e-007,0.000318608
2.3735e-007,0.000298053
2.374e-007,0.000272359
2.3745e-007,0.000280923
2.375e-007,0.0002381
2.3755e-007,0.000270646
2.376e-007,0.000275784
2.3765e-007,0.000292914
2.377e-007,0.000304905
2.3775e-007,0.000320321
2.378e-007,0.000311756
2.3785e-007,0.000315182
2.379e-007,0.000306617
2.3795e-007,0.000337451
2.38e-007,0.000301479
2.3805e-007,0.000298053
2.381e-007,0.000316895
2.3815e-007,0.000346015
2.382e-007,0.000352867
2.3825e-007,0.000346015
2.383e-007,0.000395691
2.3835e-007,0.000414533
2.384e-007,0.000421385
2.3845e-007,0.000407681
2.385e-007,0.000404255
2.3855e-007,0.000369997
2.386e-007,0.000340876
2.3865e-007,0.000304905
2.387e-007,0.00026722
2.3875e-007,0.000251803
2.388e-007,0.000274071
2.3885e-007,0.000298053
2.389e-007,0.000356293
2.3895e-007,0.000428237
2.39e-007,0.000524162
2.3905e-007,0.000590967
